region,subj,item,rpdur,tgdur,totfixdur,gbck,gdur,rr,rrdur,quan_cond,typic_cond,interf_cond,subj_cond,obj_cond,cond,quants,typic,interf
6,48,17,152,152,152,2,152,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,48,19,370,370,370,2,370,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,48,18,202,202,202,2,202,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,48,16,182,182,182,2,182,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,48,15,712,342,548,1,162,1,386,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,48,30,154,154,154,2,154,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,48,29,252,252,252,2,252,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,48,20,260,260,260,2,260,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,48,7,1074,788,788,1,272,1,516,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,48,5,432,432,432,2,432,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,48,12,194,194,402,2,194,1,208,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,48,27,448,448,448,2,448,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,48,31,268,268,422,2,268,1,154,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,48,6,484,484,484,2,484,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,48,11,242,242,658,2,242,1,416,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,48,8,184,184,184,2,184,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,48,25,452,452,452,2,452,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,48,22,162,162,162,2,162,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,48,23,198,198,198,2,198,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,48,9,540,540,720,2,540,1,180,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,48,3,172,172,172,2,172,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,48,28,180,180,180,2,180,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,48,10,170,170,170,2,170,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,48,21,198,198,296,2,198,1,98,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,48,1,0,0,190,0,0,1,190,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,48,4,232,232,232,2,232,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,48,2,200,200,306,2,200,1,106,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,48,13,190,190,342,2,190,1,152,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,11,2,694,264,738,1,58,1,680,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,11,8,208,208,1142,2,208,1,934,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,11,6,230,230,1146,2,230,1,916,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,11,1,280,280,712,2,280,1,432,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,11,30,0,0,656,0,0,1,656,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,11,21,172,172,336,2,172,1,164,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,11,16,726,336,694,1,184,1,510,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,11,27,184,184,378,2,184,1,194,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,11,29,0,0,460,0,0,1,460,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,11,19,208,208,742,2,208,1,534,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,11,18,554,376,622,1,158,1,464,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,11,32,288,288,826,2,288,1,538,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,11,3,372,372,590,2,372,1,218,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,11,7,754,602,602,1,134,1,468,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,11,17,218,218,218,2,218,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,11,11,550,164,324,1,164,1,160,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,11,10,168,168,774,2,168,1,606,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,11,9,494,494,1042,2,494,1,548,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,11,15,232,232,542,2,232,1,310,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,11,12,122,122,122,2,122,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,11,22,202,202,492,2,202,1,290,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,11,23,202,202,700,2,202,1,498,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,11,26,270,270,594,2,270,1,324,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,11,25,330,330,630,2,330,1,300,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,11,5,0,0,546,0,0,1,546,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,11,20,360,360,360,2,360,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,11,31,218,218,492,2,218,1,274,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,11,13,258,258,914,2,258,1,656,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,11,28,0,0,804,0,0,1,804,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,11,4,154,154,330,2,154,1,176,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,19,7,1310,838,838,1,156,1,682,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,19,32,474,474,474,2,474,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,19,28,212,212,212,2,212,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,19,17,554,554,554,2,554,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,19,23,200,200,1008,2,200,1,808,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,19,27,210,210,210,2,210,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,19,20,276,276,276,2,276,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,19,1,246,246,246,2,246,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,19,31,472,472,472,2,472,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
